Boom,Regio,Grootte,Volume,Hoogte
1,Atlantic,24196,14,27
2,Atlantic,7900,34,21
3,Atlantic,23038,91,25
4,Atlantic,17042,16,3
5,Atlantic,7646,105,24
6,Atlantic,19938,25,17
7,Atlantic,7985,9,15
8,Atlantic,8897,68,3
9,Atlantic,8982,18,24
10,Atlantic,233,3,11
11,Atlantic,1598,9,15
12,Atlantic,1745,8,23
13,Atlantic,17042,2,24
14,Atlantic,4082,11,3
15,Atlantic,3775,6,13
16,Atlantic,13688,18,30
17,Atlantic,3978,48,9
18,Atlantic,5328,11,27
19,Atlantic,18480,36,9
20,Atlantic,10161,11,24
21,Atlantic,8643,11,23
22,Atlantic,9920,36,27
23,Atlantic,28389,81,24
24,Atlantic,21067,36,23
25,Atlantic,14870,18,18
26,Atlantic,2540,4,9
27,Atlantic,829,11,9
28,Atlantic,8992,12,4
29,California,559,41,18
30,California,433,16,6
31,California,259,2,17
32,California,1061,55,20
33,California,870,59,30
34,California,803,26,23
35,California,826,6,26
36,California,699,1,21
37,California,690,171,15
38,California,223,4,1
39,California,13,71,18
